booth,x,y
lets,1085.487060546875,1119.0999755859375
delivery,1085.487060546875,1119.0999755859375
shippify,1126.49560546875,1098.5999755859375
SHIFT4,1126.49560546875,1098.5999755859375
emblue,1187.8292236328125,1119.5999755859375
banco util,1187.8292236328125,1119.5999755859375
TRANSFERO,1044.4794921875,1098.5999755859375
SITE BLINDADO,1245.8803100585938,1097.9000244140625
BY CONVISO,1245.8803100585938,1097.9000244140625
HOPY PAY,1245.8803100585938,1097.9000244140625
sizebay,1306.7474365234375,1117.0999755859375
retail,1306.7474365234375,1117.0999755859375
hub,1306.7474365234375,1117.0999755859375
imile,1327.487060546875,1096.0999755859375
coderivy,1401.486328125,1117.5999755859375
malga,1422.1865234375,1096.5999755859375
gisapp,1422.1865234375,1096.5999755859375
widde,1442.48876953125,1117.5999755859375
log,929.9920959472656,1217.285888671875
manager,929.9920959472656,1217.285888671875
b2E,953.4962158203125,1217.285888671875
group,953.4962158203125,1217.285888671875
konfi,941.0418395996094,1241.285888671875
dency,941.0418395996094,1241.285888671875
UAMI,941.0418395996094,1241.285888671875
abbiamo,968.6173095703125,1297.9000244140625
VOCÊ,968.6173095703125,1297.9000244140625
ARGO,968.6173095703125,1297.9000244140625
bee,930.4176330566406,1321.9000244140625
ecommerce,1034.6934814453125,1298.3500366210938
objetivo,1034.6934814453125,1298.3500366210938
PONTALTECH,1021.4169921875,1321.9000244140625
erp,1021.4169921875,1321.9000244140625
sysemp,1021.4169921875,1321.9000244140625
kognita,940.1466979980469,1398.4000244140625
PITZI,940.1466979980469,1398.4000244140625
caaqui,942.4640808105469,1422.4000244140625
flipnet,942.4640808105469,1422.4000244140625
NEOMODE,953.9166259765625,1321.4000244140625
orange,1022.55859375,1399.4000244140625
ALLSET,1022.55859375,1399.4000244140625
solution,1010.41650390625,1421.9000244140625
wolf,1033.92626953125,1421.9000244140625
gestão,1033.92626953125,1421.9000244140625
mindlog,941.48828125,1473.9000244140625
TOMtic,941.48828125,1473.9000244140625
ket,941.48828125,1473.9000244140625
uble,943.7796630859375,1496.4000244140625
SELLMATE,1020.6019287109375,1473.9000244140625
ships,1020.6019287109375,1473.9000244140625
mart,1020.6019287109375,1473.9000244140625
aim,1021.1046142578125,1495.9000244140625
Conversion,1021.1046142578125,1495.9000244140625
experts,1021.1046142578125,1495.9000244140625
vtrina,1021.1046142578125,1495.9000244140625
ALFA,1012.15771484375,1216.9000244140625
Biso,1033.4900512695312,1217.285888671875
INBAZZ,1021.5770874023438,1241.5929565429688
AVUKE,1021.5770874023438,1241.5929565429688
TOTAL,1728.4838256835938,1565.199951171875
EXPRESS,1728.4838256835938,1565.199951171875
UNFY,1564.4927978515625,1453.199951171875
